,Place_Name,PER_names
85,India,Onesicritus
85,India,Alexander
85,India,Alexander
85,India,Onesicritus
92,India,Onesicritus
92,India,Alexander
92,India,Alexander
92,India,Onesicritus
93,India,Onesicritus
93,India,Alexander
93,India,Alexander
93,India,Onesicritus
326,Bactria,Ctesias
326,Bactria,Theopompus
343,India,Artemidorus
343,India,Isidore
343,India,Artemidorus
343,India,Artemidorus
348,Ganges,Artemidorus
348,Ganges,Isidore
348,Ganges,Artemidorus
348,Ganges,Artemidorus
349,India,Artemidorus
349,India,Isidore
349,India,Artemidorus
349,India,Artemidorus
365,Ganges,Artemidorus
365,Ganges,Isidore
365,Ganges,Artemidorus
365,Ganges,Artemidorus
2015,India,Father Liber
2015,India,Hercules
2015,India,Paulus Aemilius
2938,India,Amasis
4109,India,Alexander the Great
4114,Oxus,Alexander
4114,Oxus,Antiochus
4114,Oxus,Seleucus
4115,Indus,Alexander
4115,Indus,Antiochus
4115,Indus,Seleucus
4121,India,Alexander the Great
4121,India,M
4121,India,Varro
4122,Oxus,Alexander the Great
4122,Oxus,M
4122,Oxus,Varro
4123,India,Alexander the Great
4123,India,M
4123,India,Varro
4130,India,Amometus
4130,India,Hecataeus
4131,India,Amometus
4131,India,Hecataeus
4133,India,Eratosthenes
4133,India,Agrippa
4133,India,Posidonius
4134,Indus,Eratosthenes
4134,Indus,Agrippa
4134,Indus,Posidonius
4135,India,Eratosthenes
4135,India,Agrippa
4135,India,Posidonius
4136,India,Eratosthenes
4136,India,Agrippa
4136,India,Posidonius
4137,India,Eratosthenes
4137,India,Agrippa
4137,India,Posidonius
4139,India,Alexander the Great
4139,India,Seleucus
4139,India,Antiochus
4139,India,Patrocles
4139,India,Megasthenes
4139,India,Dionysius
4139,India,Philadelphus
4139,India,Alexander the Great
4139,India,Father Liber
4139,India,Alexander the Great
4139,India,Alexander the Great
4139,India,Seneca
4141,India,Alexander the Great
4141,India,Seleucus
4141,India,Antiochus
4141,India,Patrocles
4141,India,Megasthenes
4141,India,Dionysius
4141,India,Philadelphus
4141,India,Alexander the Great
4141,India,Father Liber
4141,India,Alexander the Great
4141,India,Alexander the Great
4141,India,Seneca
4142,India,Alexander the Great
4142,India,Seleucus
4142,India,Antiochus
4142,India,Patrocles
4142,India,Megasthenes
4142,India,Dionysius
4142,India,Philadelphus
4142,India,Alexander the Great
4142,India,Father Liber
4142,India,Alexander the Great
4142,India,Alexander the Great
4142,India,Seneca
4143,Indus,Alexander the Great
4143,Indus,Seleucus
4143,Indus,Antiochus
4143,Indus,Patrocles
4143,Indus,Megasthenes
4143,Indus,Dionysius
4143,Indus,Philadelphus
4143,Indus,Alexander the Great
4143,Indus,Father Liber
4143,Indus,Alexander the Great
4143,Indus,Alexander the Great
4143,Indus,Seneca
4144,Ganges,Alexander the Great
4144,Ganges,Seleucus
4144,Ganges,Antiochus
4144,Ganges,Patrocles
4144,Ganges,Megasthenes
4144,Ganges,Dionysius
4144,Ganges,Philadelphus
4144,Ganges,Alexander the Great
4144,Ganges,Father Liber
4144,Ganges,Alexander the Great
4144,Ganges,Alexander the Great
4144,Ganges,Seneca
4145,India,Alexander the Great
4145,India,Seleucus
4145,India,Antiochus
4145,India,Patrocles
4145,India,Megasthenes
4145,India,Dionysius
4145,India,Philadelphus
4145,India,Alexander the Great
4145,India,Father Liber
4145,India,Alexander the Great
4145,India,Alexander the Great
4145,India,Seneca
4149,India,Alexander the Great
4149,India,Seleucus
4149,India,Antiochus
4149,India,Patrocles
4149,India,Megasthenes
4149,India,Dionysius
4149,India,Philadelphus
4149,India,Alexander the Great
4149,India,Father Liber
4149,India,Alexander the Great
4149,India,Alexander the Great
4149,India,Seneca
4153,India,Alexander the Great
4153,India,Diognetus
4153,India,Baeton
4153,India,Alexander
4153,India,Alexander
4154,Indus,Alexander the Great
4154,Indus,Diognetus
4154,Indus,Baeton
4154,Indus,Alexander
4154,Indus,Alexander
4155,Hydaspes,Alexander the Great
4155,Hydaspes,Diognetus
4155,Hydaspes,Baeton
4155,Hydaspes,Alexander
4155,Hydaspes,Alexander
4156,Ganges,Seleucus Nicator
4157,Ganges,Seleucus Nicator
4158,Ganges,Seleucus Nicator
4168,India,Baeton
4168,India,Megasthenes
4169,Ganges,Baeton
4169,Ganges,Megasthenes
4170,Indus,Baeton
4170,Indus,Megasthenes
4171,India,Baeton
4171,India,Megasthenes
4172,Ganges,Artemidorus
4173,Ganges,Artemidorus
4174,Indus,Artemidorus
4175,Indus,Artemidorus
4185,Indus,Alexander
4187,Indus,Alexander
4188,India,Bacchus
4188,India,Jupiter
4189,Indus,Bacchus
4189,Indus,Jupiter
4190,India,Bacchus
4190,India,Jupiter
4191,India,Bacchus
4191,India,Jupiter
4192,Taprobane,Bacchus
4192,Taprobane,Jupiter
4195,Taprobane,Alexander the Great
4195,Taprobane,Onesicritus
4195,Taprobane,Megasthenes
4195,Taprobane,Eratosthenes
4196,India,Alexander the Great
4196,India,Onesicritus
4196,India,Megasthenes
4196,India,Eratosthenes
4197,India,Alexander the Great
4197,India,Onesicritus
4197,India,Megasthenes
4197,India,Eratosthenes
4198,India,Alexander the Great
4198,India,Onesicritus
4198,India,Megasthenes
4198,India,Eratosthenes
4200,Taprobane,Alexander the Great
4200,Taprobane,Onesicritus
4200,Taprobane,Megasthenes
4200,Taprobane,Eratosthenes
4205,Taprobane,Claudius
4205,Taprobane,Annius Plocamus
4207,Taprobane,Rachias
4208,India,Rachias
4209,Taprobane,Taprobane
4211,Taprobane,Hercules
4211,Taprobane,Father Liber
4211,Taprobane,Taprobane
4212,Indus,Cyrus
4212,Indus,Semiramis
4212,Indus,Alexander
4213,Arachosia,Cyrus
4213,Arachosia,Semiramis
4213,Arachosia,Alexander
4216,Indus,Alexander
4216,Indus,Alexander
4217,India,Alexander
4217,India,Alexander
4221,India,Onesicritus
4221,India,Alexander
4221,India,Juba
4221,India,Onesicritus
4221,India,Nearchus
4221,India,Alexander
4221,India,Nearchus
4221,India,Leonnatus
4221,India,Alexander
4256,India,Pandion
4258,India,Pandion
4259,India,Pandion
4260,Muziris,Pandion
4261,India,Pandion
4262,India,Pandion
4268,Indus,Erythras
4268,Indus,Eratosthenes
4268,Indus,Onesicritus
4268,Indus,Nearchus
4410,Indus,M
4410,Indus,Agrippa
4456,India,Epiphanes
4501,Baragaza,Juba
4501,Baragaza,Juba
4859,India,Megasthenes
4859,India,Ctesias
4861,India,Megasthenes
4861,India,Ctesias
4862,India,Megasthenes
4862,India,Ctesias
4863,India,Megasthenes
4863,India,Ctesias
4864,India,Megasthenes
4864,India,Ctesias
4865,India,Megasthenes
4865,India,Ctesias
4866,India,Megasthenes
4866,India,Ctesias
4867,Ganges,Megasthenes
4867,Ganges,Ctesias
4869,India,Megasthenes
4869,India,Ctesias
4870,Ceylon,Megasthenes
4870,Ceylon,Ctesias
4871,India,Megasthenes
4871,India,Ctesias
5074,India,Pompey the Great
5074,India,Liber
5074,India,Procilius
5074,India,Pompey
5074,India,Germanicus Caesar
5076,India,Juba
5076,India,Herodotus
5094,India,Megasthenes
5094,India,Regulus
5094,India,Claudius
5128,India,Father Liber
5175,India,Alexander the Great
5175,India,Alexander
5175,India,Alexander
5175,India,Alexander
5257,Ganges,Alexander the Great
5257,Ganges,Ptolemy
5257,Ganges,Alexander the Great
5267,India,Tiberius
5267,India,Triton
5267,India,Augustus
5267,India,Tiberius
5267,India,Turranius
5267,India,Andromeda
5267,India,Marcus Scaurus
5290,Ganges,Statius Sebosus
5291,India,Statius Sebosus
5505,India,Dinon
5505,India,Clitarchus
5505,India,Melampus
5505,India,Democritus
5505,India,Homer
5621,India,Virgil
5621,India,Herodotus
5621,India,Nero
5622,India,Virgil
5622,India,Herodotus
5622,India,Nero
5632,India,Pompey the Great
5632,India,Mithridates
5632,India,Fabius
5633,India,Alexander
5633,India,Alexander
5641,India,Chiron
5643,India,Chiron
5646,India,Alexander
5646,India,Onesicritus
5656,India,Juba
5657,India,Juba
5716,India,Nero
5716,India,Poppaea
5946,India,Alexander
6344,India,Seleucus
6344,India,Nature
6344,India,Mithridates
6363,India,Theophrastus
6363,India,Harpalus
6363,India,Alexander
6363,India,Father Liber
6365,India,Theophrastus
6365,India,Harpalus
6365,India,Alexander
6365,India,Father Liber
6678,Bactria,Virgil
6767,India,Varro
6794,India,Anaxilaus
6797,Indus,Alexander the Great
6797,Indus,Cleopatra
6797,Indus,Mark Antony
7060,India,Nature
7405,India,Polyclitus
7405,India,Theophrastus
7405,India,Theopompus
7405,India,Juba
7414,India,Ctesias
7414,India,Coelius
7414,India,Varro
7414,India,Apion
7414,India,Medes
7414,India,Saturn
7414,India,Bryazus
7414,India,Larcius Licinius
7582,India,Licinius Macer
7654,India,Avarice
8023,India,Polygnotus
8023,India,Micon
8023,India,Apelles
8028,India,Selinus
8031,India,Apelles
8031,India,Aetion
8031,India,Melanthius
8031,India,Nicomachus
8583,India,Man
8584,India,Man
8592,India,Obsius
8592,India,Augustus
8592,India,Augustus
8592,India,Tiberius
8592,India,Menelaus
8592,India,Scius
8592,India,Xenocrates
8612,India,Ptolemy
8612,India,Pythagoras
8612,India,Cornelius Bocchus
8612,India,Xenocrates
8612,India,Xenocrates
8612,India,Sudines
8621,India,Livia
8621,India,Augustus
8621,India,Xenocrates
8646,India,Phaethon
8646,India,Aeschylus
8646,India,Philoxenus
8646,India,Euripides
8646,India,Nicander
8646,India,Satyrus
8646,India,Aeschylus
8646,India,Euripides
8646,India,Apollonius
8646,India,Theophrastus
8646,India,Chares
8646,India,Phaethon
8646,India,Philemon
8652,India,Phaethon
8652,India,Aeschylus
8652,India,Philoxenus
8652,India,Euripides
8652,India,Nicander
8652,India,Satyrus
8652,India,Aeschylus
8652,India,Euripides
8652,India,Apollonius
8652,India,Theophrastus
8652,India,Chares
8652,India,Phaethon
8652,India,Philemon
8657,India,Phaethon
8657,India,Aeschylus
8657,India,Philoxenus
8657,India,Euripides
8657,India,Nicander
8657,India,Satyrus
8657,India,Aeschylus
8657,India,Euripides
8657,India,Apollonius
8657,India,Theophrastus
8657,India,Chares
8657,India,Phaethon
8657,India,Philemon
8665,India,Caesar Germanicus
8667,India,Caesar Germanicus
8673,India,Nero
8697,India,Antony
8697,India,Nonius
8697,India,Nonius Struma
8697,India,Catullus
8697,India,Servilius Nonianus
8697,India,Nonius
8697,India,Antony
8697,India,Nonius
8706,India,Ismenias
8706,India,Demostratus
8706,India,Zenothemis
8706,India,Sotacus
8706,India,Zenothemis
8722,India,Ismenias
8722,India,Nicander
8724,India,Ismenias
8724,India,Nicander
8736,India,Menander
8736,India,Philemon
8746,India,Sudines
8746,India,Juba
8759,India,Venus
8809,India,Milo
8809,India,Democritus
8811,India,Milo
8811,India,Democritus
8828,Bactria,Zoroaster
8828,Bactria,Democritus
8828,Bactria,Baal
8828,Bactria,Eusebes
8828,Bactria,Hercules
8842,India,Jupiter
8847,India,Xenocrates
8866,Indus,Democritus
8873,India,Nature
8873,India,Nature
